loan_amnt,term,int_rate,installment,annual_inc,loan_status
10000.0, 36 months,11.44,329.48,117000.0,Fully Paid
8000.0, 36 months,11.99,265.68,65000.0,Fully Paid
15600.0, 36 months,10.49,506.97,43057.0,Fully Paid
7200.0, 36 months,6.49,220.65,54000.0,Fully Paid
24375.0, 60 months,17.27,609.33,55000.0,Charged Off
20000.0, 36 months,13.33,677.07,86788.0,Fully Paid
18000.0, 36 months,5.32,542.07,125000.0,Fully Paid
13000.0, 36 months,11.14,426.47,46000.0,Fully Paid
18900.0, 60 months,10.99,410.84,103000.0,Fully Paid
26300.0, 36 months,16.29,928.4,115000.0,Fully Paid
10000.0, 36 months,13.11,337.47,95000.0,Fully Paid
35000.0, 36 months,14.64,1207.13,130000.0,Fully Paid
7500.0, 36 months,9.17,239.1,55000.0,Fully Paid
35000.0, 60 months,12.29,783.7,157000.0,Fully Paid
25975.0, 36 months,6.62,797.53,65000.0,Fully Paid
18000.0, 36 months,8.39,567.3,45000.0,Fully Paid
32350.0, 60 months,21.98,893.11,72000.0,Fully Paid
11200.0, 60 months,12.29,250.79,81000.0,Fully Paid
34000.0, 36 months,7.9,1063.87,130580.0,Fully Paid
20000.0, 36 months,6.97,617.27,85000.0,Fully Paid
9200.0, 36 months,6.62,282.48,65000.0,Fully Paid
7350.0, 36 months,13.11,248.05,54800.0,Fully Paid
4200.0, 36 months,6.99,129.67,24000.0,Fully Paid
20000.0, 36 months,8.39,630.34,55000.0,Fully Paid
5000.0, 36 months,15.61,174.83,75000.0,Fully Paid
6000.0, 36 months,11.36,197.47,46680.0,Charged Off
8400.0, 36 months,13.35,284.45,35000.0,Charged Off
23050.0, 36 months,12.12,766.92,80000.0,Fully Paid
15000.0, 36 months,9.99,483.94,79000.0,Fully Paid
20000.0, 36 months,8.19,628.49,87000.0,Fully Paid
13200.0, 36 months,18.75,482.2,71000.0,Fully Paid
4600.0, 36 months,12.29,153.43,29400.0,Fully Paid
3000.0, 36 months,6.03,91.31,64000.0,Fully Paid
20000.0, 36 months,12.29,667.06,95000.0,Fully Paid
12725.0, 36 months,14.99,441.06,43000.0,Fully Paid
5375.0, 36 months,13.11,181.39,34000.0,Fully Paid
3250.0, 36 months,16.78,115.52,22500.0,Charged Off
15000.0, 36 months,13.67,510.27,90000.0,Fully Paid
